,catalyst,catalyst_substrate,SA_element,SA_valence,co_elements,oxidant,pollutants,pollutant_constant,dose_catalyst,dose_oxidant,pH,catalyst_cycles,pilot_pollutant,pilot_time,ORS,EPR_signals,quencher,DOI
152,Fe@S-1,MFI molecular sieve doped with Fe atoms,,,,PDS,10 mg/L (TBBPA),0.497 min-1 (TBBPA),0.2 g/L,0.3 mM,5.0–7.0,15,200 mg/L (TBBPA),96 h,"SO4•-, •OH, O2•-, 1O2","DMPO-OH, DMPO-SO4, TEMP-1O2","51.59% (MeOH), 43.37% (TBA), 53.48% (BQ), inhibition (FFA)",10.1016/j.colsurfa.2024.134537
153,,,,,,,,,,,,,,,,,,
154,Co/Fe-N-C,N-doped carbon,"Co, Fe","0 to +2 (Co), 0 to +2 (Fe)",N,PDS,"100 mg/L (phenol), 100 mg/L (bisphenol A), 100 mg/L (2,4-dichlorophenol), 100 mg/L (N-methyl-2-pyrrolidone)",0.205 min-1 (phenol),0.5 g/L,10 mmol/L,6,5,,,"SO4-, HO, O2-, 1O2","DMPO-OH, DMPO-SO4, DMPO-O2, TEMP-1O2","79.6% inhibition (ascorbic acid), slight inhibition (methanol), slight inhibition (l-histidine), 46.9% inhibition (tert-butanol), 36.6% inhibition (p-benzoquinone)",10.1016/j.colsurfa.2024.135610
155,Co-SACs,graphene,Co,II,"S, C",PMS,320 μg/L (imidacloprid),,,,,,,,"SO4-, HO, 1O2",,,10.1016/j.ecoenv.2025.117714
156,CoCuO(Ov),CuO with enriched oxygen vacancies (Ov),Co,II,"O, Cu",PMS,20 mg/L (tetracycline),3.1068 min-1 (tetracycline),0.2 g/L,0.9 mM,7,5,,,"OH, SO4-, 1O2","DMPO-OH, DMPO-SO4, TEMPO","slight inhibition (TBA), slight inhibition (EtOH), slight inhibition (p-BQ), slight inhibition (FFA)",10.1016/j.envpol.2023.122298
157,Mn2O3-D,Mn2O3 hybridized with C,,,,PMS,10 mg/L (Bisphenol A),0.1423 min-1 (Bisphenol A),0.1 g/L,0.1 mM,7,4,,,"O2-, 1O2",TEMP-1O2,"no significant inhibition (methanol), no significant inhibition (tert-butanol), 24.3% (p-benzoquinone), 27.2% (furfuryl alcohol)",10.1016/j.envres.2024.120409
158,Fe/CN,g-C3N4,Fe,II/III,N,NaHSO3,10 mg/L (acetaminophen),0.013 min-1 (acetaminophen),0.02 g/L,5 mM,7,5,,,"SO4-, SO5-, O2-, OH","DMPO-SO3, DMPO-SO4, DMPO-OH, DMPO-O2","slight inhibition (tert-butanol), 28.2% (chloroform), 46.9% (ammonium oxalate), 44.3% (ethanol), significant inhibition (aniline), significant inhibition (N2)",10.1016/j.ese.2024.100405
159,,,,,,,,,,,,,,,,,,
160,SA-Cu-NC,N-doped carbon nanosheets,Cu,"I, II",N,PMS,50 mM (BPA),1.77 mmol s-1g-1 (BPA),0.04 g/L,1.0 mM,5.8,5,,7 days,1O2,"DMPOX, TEMP-1O2","negligible impact (MeOH), slight inhibition (TBA), 40% inhibition (EDTA), 60% inhibition (FFA)",10.1016/j.isci.2022.104930
161,Co-N/C,nitrogen-doped carbon,Co,"0, II, III","N, C",peroxymonosulfate,10 mg/L (malachite green),0.302 min-1 (malachite green),1 mg/L,48 mg/L,7,,,,"SO4-, OH, 1O2, MIV(O)/MV(O)","DMPO-OH, DMPO-SO4, TEMPO","62.4% (ethanol), 75.5% (isopropanol), 16.2% (furfuryl alcohol), almost complete inhibition (dimethyl sulfoxide)",10.1016/j.jallcom.2023.172856
162,Co-Fe PBAs@rGO,reduced graphene oxide (rGO),,,,PMS,20 mg/L (levofloxacin hydrochloride),0.109 min-1 (levofloxacin hydrochloride),50 mg/L,1 mM,5.5,5,,,"SO4-, OH",,"complete quenching (ascorbic acid), no effect (tert-butyl alcohol), significant inhibition (methanol)",10.1016/j.jcis.2018.04.070
163,CoNSC,N/S-doped carbon,,,,oxone,50 mg/L (Azorubine S),0.201 min-1 (Azorubine S),50 mg/L,50 mg/L,7,5,,,"SO4-, OH","DMPO-SO4, DMPO-OH","slight inhibition (TBA), significant inhibition (methanol)",10.1016/j.jcis.2020.05.033
164,CoN/O-pCN,polymeric carbon nitride (pCN),Co,2,"N, O",PMS,20 mg/L (tetracycline),0.11909 min-1 (tetracycline),0.2 g/L,200 mg/L,natural pH,4,,,"OH, SO4-, 1O2","DMPO-OH, DMPO-SO4, TEMP-1O2","slight inhibition (methanol), slight inhibition (TBA), significant inhibition (NaN3)",10.1016/j.jcis.2022.08.108
165,HPPC,asphalt-based hard carbon microcrystals,,,,O2,,,,,,,,,,,,10.1016/j.jcis.2023.12.096
166,,,,,,,,,,,,,,,,,,
167,Fe-N/O@C-800,Carbon,Fe,"II, III","N, O",PMS,10 mg/L (BPA),0.109 min-1 (BPA),0.1 g/L,0.4 g/L,6,5,,,"SO4-, OH, 1O2, Fe(IV)=O","DMPO-OH, DMPO-SO4, TEMP-1O2, DMPO-O2","slight inhibition (TBA), significant inhibition (FFA), no effect (p-BQ)",10.1016/j.jcis.2024.03.045
168,CoNOC,Nitrogen-doped carbon (NC),Co,,"N, O",H2O2,20 mg/L (tetracycline),0.024 min-1 (tetracycline),0.5 mg/cm2,0.5 mM (Fe2+),3,9,,,"OH, O2-","DMPO-OH, DMPO-O2-","below 40% (tert-butanol), significant inhibition (benzoquinone)",10.1016/j.jcis.2024.06.035
169,CuZn-NC,N-doped porous carbon (NC),"Cu, Zn","II, II",N,peroxymonosulfate (PMS),"25 mg/L (BPA), 25 mg/L (4-NP), 25 mg/L (CV), 25 mg/L (ST), 25 mg/L (MO), 25 mg/L (CAP)","0.08165 min-1 (BPA), 0.097 min-1 (4-NP), 0.028 min-1 (CAP)",0.1 g/L,0.4 g/L,6.7,3,,,"SO4-, OH, 1O2","DMPO-SO4•-, DMPO-•OH","slight inhibition (TBA), significant inhibition (MeOH), 49.30% (L-His), 44.30% (FFA)",10.1016/j.jcis.2024.06.082
170,Ru@NiFe-LDH,NiFe-LDH,Ru,V,"O, Ni, Fe",PMS,10 mg/L (sulfamethoxazole),0.15176 min-1 (sulfamethoxazole),0.2 g/L,0.5 mM,3,400,10 mg/L (sulfamethoxazole),400 min,"1O2, Ru(V)=O","DMPO-OH, DMPO-SO4, DMPO-O2, TEMP-1O2","significant inhibition (furfuryl alcohol), slight inhibition (methanol), slight inhibition (tert-butanol), significant inhibition (dimethyl sulfoxide)",10.1016/j.jcis.2024.07.094
171,Co/PMCNs-1,mesoporous carbon spheres,Co,II,N,PMS,20 mg/L (levofloxacin),0.175 min-1 (levofloxacin),0.1 g/L,1 mM,11,5,5 mg/L (levofloxacin),12 h,"SO4-, OH, O2-, 1O2","DMPO-O2-, TEMP-1O2, DMPO-SO4-/OH","inhibition (MeOH), inhibition (TBA), inhibition (BQ), inhibition (FFA), inhibition (DMSO)",10.1016/j.jcis.2024.08.194
172,Fe-MOF,Fe-N4 pyrazole structure,Fe,II,N,"H2O2, PMS",40 mg/L (tetracycline),"0.2938 min-1 (tetracycline), 0.2371 min-1 (tetracycline)",0.2 g/L,"5 mM (H2O2), 0.5 mM (PMS)",7,5,,,"OH, SO4-, 1O2, O2-","DMPO-OH, DMPO-SO4","45.32% (TBA), 84.78% (FFA), 80.23% (p-BQ), 50.31% (MeOH)",10.1016/j.jcis.2024.11.004
173,Co CS/A-TiO2,A-TiO2,Co,"II, III",O,PMS,10 μM (SMX),0.4926 min-1 (SMX),0.1 g/L,0.2 mM,6.93,5,5 μM (SMX),6 hours,"1O2, SO4•−, •O2−","DMPO-OH, DMPO-SO4, DMPO-O2, TEMP-1O2","slight inhibition (TBA), 85.1% (p-BQ), 87.8% (MeOH), 95.7% (FFA)",10.1016/j.jclepro.2024.144194
174,,,,,,,,,,,,,,,,,,10.1016/j.quascirev.2022.107449
175,Co-N3/WPAC,waste paper-derived active carbon (WPAC),Co,II,N,PS,20 mg/L (SIZ),0.16 min-1 (SIZ),0.2 g/L,0.5 g/L,6,5,20 mg/L (sulfisoxazole),,"OH, SO4-","DMPO-OH, DMPO-SO4, TEMP-1O2","59.3% (methanol), 68.8% (tert-butanol), slight inhibition (furfuryl alcohol), no effect (benzoquinone)",10.1016/j.jece.2022.109219
176,Cu-MoS2,MoS2,Cu,"+1, +2","S, Mo",PMS,20 mg/L (tetracycline),0.052 min-1 (tetracycline),0.15 g/L,5 mmol/L,7,,,,"1O2, OH, SO4-, O2-","DMPO-OH, DMPO-O2-, TEMP-1O2","59.9% (methanol), 67.7% (tert-butanol), 54.3% (p-benzoquinone), 29.2% (furfuryl alcohol)",10.1016/j.jece.2024.112559
177,Co-FeNi-LDH,Fe-Ni layered double hydroxides (FeNi-LDHs) with oxygen vacancies,Co,II,"Fe, Ni, O",PMS,20 mg/L (TC),1.2879 min-1 (TC),0.2 g/L,0.225 mM,7,5,,,"OH, SO4-, O2-, 1O2","DMPO-SO4, DMPO-OH, TEMP-1O2, DMPO-O2-","96.92% (EtOH), 73.17% (TBA), 62.09% (FFA), 82.1% (p-BQ), 47.21% (KI)",10.1016/j.jece.2024.113723
178,,,,,,,,,,,,,,,,,,
179,Fe@BC,chitosan biochar (BC) with Fe-Nx coordination sites and iron nanoparticles,Fe,II,N,PAA,10 mg/L (bisphenol A),0.0982 min-1 (BPA),0.15 g/L,0.5 mmol/L,5,,,,"OH, O2-","DMPO-OH, DMPO-O2-","significant reduction (tert-butanol), 75.4% (p-benzoquinone), 80.5% (L-histidine)",10.1016/j.jece.2024.114102
180,FeSAC-800,porous carbon,Fe,"II, III",N,PMS,"20 mg/L (norfloxacin), 20 mg/L (levofloxacin), 20 mg/L (ciprofloxacin), 20 mg/L (enrofloxacin), 20 mg/L (lomefloxacin), 20 mg/L (flumequine)",0.031 min-1 (norfloxacin),0.5 g/L,0.4 g/L,7,4,,,"O2-, 1O2, OH, SO4-","DMPO-OH/SO4-, DMPO-O2-, TEMP-1O2","slight inhibition (ethanol), slight inhibition (tert-butanol), 50% (p-benzoquinone), significant inhibition (L-histidine), negligible degradation (EDTA-2Na)",10.1016/j.jechem.2022.01.044
181,P-NRGO,porous nitrogen-doped reduced graphene oxide,,,,PMS,50 ppm (phenol),0.35 min-1 (phenol),0.05 g/L,0.2 g,,3,,,"1O2, O2%-",,"slight inhibition (methanol), slight inhibition (tert-butyl alcohol), slight inhibition (FFA), slight inhibition (p-benzoquinone)",10.1016/j.jhazmat.2019.121010
182,Fe0.36Mo0.64S2,MoS2 nanosheets,Fe,II,"S, Mo",PS,10 μM (aniline),0.71 μM/min (aniline),0.1 g/L,1 mM,4,5,10 μM (aniline),60 min,"SO4-, HO","DMPO-SO4, DMPO-HO","83.8% (100 mM TBA), 11.4% (500 mM EtOH)",10.1016/j.jhazmat.2020.122137
183,Fe1/N-DG,defect-enriched graphene sheets,Fe,II,"N, O",H2O2,25 mg/L (chloramphenicol),,101.6 μg/cm2,,13,5,,,"OH, O2-",,,10.1016/j.jhazmat.2021.125162
184,SAFe-OCN,"oxygen-doped, nitrogen-rich carbon support",Fe,"II, III","N, O","PMS, PAA","0.1 mM (phenol), 0.1 mM (4-chlorophenol), 0.1 mM (bisphenol A), 0.1 mM (salicylic acid), 0.1 mM (diclofenac), 0.1 mM (atrazine), 0.1 mM (sulfamethoxazole), 0.1 mM (benzoic acid), 0.1 mM (acetylsalicylic acid)","0.039 min-1 (phenol), 0.0532 min-1 (4-chlorophenol), 0.03 min-1 (bisphenol A), 0.0258 min-1 (salicylic acid), 0.0753 min-1 (diclofenac), 0.00814 min-1 (atrazine), 0.00135 min-1 (sulfamethoxazole), 0.0001 min-1 (benzoic acid), 0.0001 min-1 (acetylsalicylic acid)",0.5 g/L,1 mM,7,4,,,high-valent Fe species,"DMPOX, TEMPO","no inhibition (TBA), no inhibition (ethanol), no inhibition (FFA)",10.1016/j.jhazmat.2021.126294
185,Mn-SAC@PZS,"porous N, P, S-co-doped carbon framework",Mn,"II, III, IV","N, S",O2,"10 mg/L (SFA), 10 mg/L (SPY), 10 mg/L (SMX), 10 mg/L (CIP), 10 mg/L (TCN), 10 mg/L (OTC)",0.25 min-1 (CIP),0.4 mg/cm2,,2月4日,10,,60 hours,"1O2, Mn*, H*",,"54.5% (SCN-), 47.2% (FFA), 43.9% (TBA), 23.7% (BQ), 4.6% (HO2-/O2-)",10.1016/j.jhazmat.2021.127794
186,CN-FeNi-P,carbon nitrides,"Fe, Ni",,"N, P",H2O2,10 mg/L (MOX),0.26 min-1 (MOX),0.1 g/L,49 mmol/L,3,5,,,"OH, O2•−",DMPO-OH,"33% (tert-butanol), 19% (AgNO3), 18% (EDTA-2Na), 17% (1,4-benzoquinone)",10.1016/j.jhazmat.2022.129724
187,,,,,,,,,,,,,,,,,,
188,Fe-SA/NC,nitrogen-doped porous carbon,Fe,II,"N, O",PMS,10 mg/L (sulfamethoxazole),0.0862 min-1 (sulfamethoxazole),0.05 g/L,0.5 mM,5.6,5,10 mg/L (sulfamethoxazole),500 min,1O2,"DMPO-SO4, DMPO-OH, TEMPO","slight inhibition (tert-butanol), slight inhibition (methanol), significant inhibition (sodium azide)",10.1016/j.jhazmat.2023.131333
189,,,,,,,,,,,,,,,,,,
190,Fe-N/C,nitrogen-doped carbons,Fe,II/III,N,peroxymonosulfate,"25 μM (sulfamethazine), 25 μM (nitrobenzene), 25 μM (atrazine), 25 μM (benzoic acid), 25 μM (oxytetracycline), 25 μM (tetracycline), 25 μM (2,4-dichlorophenol), 50 μM (phenol), 25 μM (furfuryl alcohol)","0.0964 min-1 (phenol), 0.0859 min-1 (phenol)",80 mg/L,0.5 mM,7,,,,1O2,"DMPO-OH, DMPO-SO4, TEMP-1O2","significant inhibition (NaN3), slight inhibition (tert-butanol), slight inhibition (methanol)",10.1016/j.jhazmat.2023.132133
191,SA-Co-PCN,polymerized carbon nitride (PCN),Co,between 0 and +2,N,PMS,"20 μM (SMX), 20 μM (SIX), 20 μM (SDZ), 20 μM (SMT)","0.1978 min-1 (SMX), 0.7499 min-1 (SMX)",0.15 g/L,0.7 mM,5.35,4,,,"1O2, SO4·−","TEMP-1O2, DMPO-SO4·−","slight inhibition (methanol), significant inhibition (furfuryl alcohol), little effect (tert-butanol, p-benzoquinone)",10.1016/j.jhazmat.2023.132316
192,FeCN,g-C3N4,Fe,"II, III",N,PAA,1 mg/L (APAP),0.810 ms-1 (APAP),200 mg in 250 mL (0.8 g/L),2 mM,7,,,2 hours,"OH, ROO-, ROOO-, O2(1)","DMPO-OH, DMPO-ROO","75% (TBA), 23% (MeOH), 15% (FFA)",10.1016/j.jhazmat.2023.132506
193,Fe-SAC-BC,waste biomass-derived carbon,Fe,III,N,PMS,10 mg/L (oxytetracycline),0.12811 min-1 (oxytetracycline),0.1 g/L,1 mM,7,10,,,"high-valent iron oxides, Fe(IV)-OH",DMPOX,"negligible inhibition (FFA), significant inhibition (SCN-), slight inhibition (EtOH, TBA)",10.1016/j.jhazmat.2023.132647
194,LFC73O,LaFeO3,,,,PAA,10 μM (SMX),0.320 min-1 (SMX),0.2 g/L,0.2 mM,4,4,,,"CH3C(O)O⋅, CH3C(O)OO⋅, 1O2","DMPO-OH, TMP-1O2","37.9% inhibition (2,4-HD), 81% inhibition (FFA), slight inhibition (TBA)",10.1016/j.jhazmat.2023.132662
195,Fe1/N/MoS2,nitrogen-coordinated molybdenum disulfide (MoS2),Fe,III,N,H2O2,10 mg/L (paracetamol),0.063 min-1 (paracetamol),4 mg (catalyst) / 500 μL (solution),,7,10,10 mg/L (paracetamol),,"OH, O2-, 1O2","DMPO-OH, DMPO-O2-, TEMPO-1O2",,10.1016/j.jhazmat.2024.133756
196,CoN4S-CB,carbon black,Co,IV,"N, S",PMS,78.96 μM (SMX),0.72311 min-1 (SMX),0.1 g/L,0.5 mM,7.4,4,20 mg/L (RhB),600 min,Co(IV)=O,DMPOX,"negligible impact (methanol, tert-butanol), 13.6% (20 mM p-benzoquinone), sharp decrease (L-histidine)",10.1016/j.jhazmat.2024.134515
197,Co-NC,carbon black with oxygen functionalities and structural defects,Co,II,N,O3,"10 mg/L (sulfamethoxazole), 10 mg/L (atrazine), 10 mg/L (4-hydroxybenzoic acid), 2.28 mg/L (bisphenol A), 50 mg/L (Rhodamine B), 90.03 mg/L (oxalic acid)",0.2872 min-1 (sulfamethoxazole),0.1 g/L,15 mg/L,6.1,5,Biotreated high-salinity pharmaceutical wastewater,,"OH, O2•-, 1O2, *O","DMPO-OH, DMPO-O2•-, TEMP-1O2","significant inhibition (methanol), significant inhibition (tert-butanol), significant inhibition (dimethyl sulfoxide), significant inhibition (furfuryl alcohol), significant inhibition (p-benzoquinone)",10.1016/j.jhazmat.2024.135289
198,Cu(II)/PDS,,,,,PDS,5 μM (ofloxacin),0.0615 min-1 (ofloxacin),10 μM (Cu(II)),0.5 mM (PDS),7,,,,"Cu(III), OH","DMPO-OH, DMPO-OCH3","22% inhibition (MeOH), 47-fold inhibition (t-BuOH)",10.1016/j.jhazmat.2024.136819
199,,,,,,PDS,10 mg/L (ciprofloxacin),0.0791 min-1 (ciprofloxacin),,15 mM,7,,10 mg/L (ciprofloxacin),40 min,"SO4-, OH, O2-, 1O2",,"significant inhibition (tert-butanol), significant inhibition (methanol), significant inhibition (L-histidine), significant inhibition (p-benzoquinone)",10.1016/j.jwpe.2022.103184
200,,,,,,,,,,,,,,,,,,
201,Cu2(OH)3F/BiOBr,BiOBr with highly exposed (010) facets,,,,H2O2,20 mg/L (TC-HCl),0.06355 min-1 (TC-HCl),0.2 g/L,40 mM,5,5,,,"OH, O2-, h+",,"sharp decrease (IPA), slight decrease (MeOH), slight decrease (TEMPOL)",10.1016/j.jwpe.2023.104140
202,MoS2/Co@NPC-800,Co and N co-doped porous carbon,,,,PMS,20 mg/L (PFOA),0.35 min-1 (PFOA),0.3 g/L,1.0 mM,7,5,pharmaceutical wastewater,3 hours,"SO4-, OH, 1O2","DMPO-OH, DMPO-SO4, TEMP-1O2","significant inhibition (methanol), slight inhibition (tert-butanol), slight inhibition (L-histidine)",10.1016/j.jwpe.2023.104663
203,N-Mn-300,manganese oxide,,,,PMS,20 mg/L (BPA),0.1067 min-1 (BPA),0.3 g/L,0.4 mM,5.18,4,,,"1O2, OH, SO4-","DMPOX, TEMP-1O2","trivial inhibition (MeOH), significant inhibition (TEMP), slight inhibition (TBA), inhibition (BQ)",10.1016/j.jwpe.2024.105574
204,Ag@Bi2WO6-CFA,Coal fly ash (CFA),,,,H2O2,10 ppm (methylene blue),0.07 min-1 (methylene blue),10 mg/100 mL,10 mM,8,5,,,OH,,"significant reduction (DMSO), slight reduction (EDTA), slight reduction (K2Cr2O7)",10.1016/j.pce.2023.103506
205,Fe2N/C,N-doped porous carbon,Fe,between 0 and +3,N,PMS,20 mg/L (Bisphenol A),1.3881 min-1 (Bisphenol A),0.15 g/L,0.5 g/L,6,5,20 mg/L (Bisphenol A),,"1O2, OH, SO4-","DMPO-OH, DMPO-SO4, TEMP-1O2","significant inhibition (L-Histidine), slight inhibition (tert-butyl alcohol), slight inhibition (methanol)",10.1016/j.pnsc.2023.10.002
206,Ce-doped Cu-Fe@γ-Al2O3,γ-Al2O3,,,,PDS,"2.5 g/L (PVA), 200 μg/mL (Rhodamine-B), 200 μg/mL (Reactive Red X-3B)",0.04197 s-1 (PVA),1.25 g/L,2 g/L,7,10,,,"SO4⋅-, ⋅OH, O2⋅-, 1O2","DMPO-SO4⋅-, DMPO-⋅OH, DMPO-O2⋅-, TEMP-1O2","69.74% (MeOH), 34.61% (FFA), 13.21% (BQ), 6.43% (TBA)",10.1016/j.psep.2022.09.021
207,Zn/Co-MOF@rGO-600,reduced graphene oxide (rGO),Co,0,"O, Zn",PMS,0.1 mM (tetracycline),0.189 min-1 (tetracycline),0.05 g/L,0.8 mM,7,4,,,"SO4-, O2-, 1O2","DMPO-OH, DMPO-SO4","significant inhibition (MeOH), significant inhibition (p-BQ), significant inhibition (L-histidine), slight inhibition (TBA)",10.1016/j.psep.2023.01.069
208,CC@CNC,nitrogen-doped carbon,Co,II,"N, O",PMS,20 mg/L (carbamazepine),0.55 min-1 (carbamazepine),0.08 g/L,0.5 g/L,,,,,1O2,"DMPOX, TEMPO","significant inhibition (TEMP), significant inhibition (FFA), slight inhibition (MeOH), slight inhibition (TBA)",10.1016/j.scib.2024.05.002
209,S Gr,graphene,,,,O3,0.05 mM (carbamazepine),,30 mg/L,0.08 mM,7,,,,HO•,,"significant inhibition (TBA), negligible contribution (p-BQ), negligible contribution (FFA)",10.1016/j.scitotenv.2022.161079
210,SA-MCN,g-C3N4,Mn,"II, III",N,PMS,2.5e6 cells/mL (Microcystis aeruginosa),0.1200 min-1 (Microcystis aeruginosa),400 mg/L,0.32 mM,7,5,,,"OH, SO4-, O2-, 1O2","DMPO-OH, DMPO-SO4, DMPO-O2-, TEMP-1O2","79.4% (TBA), 94.1% (MeOH), 77.9% (FFA), slight inhibition (BQ)",10.1016/j.scitotenv.2024.170915
211,Fe-NSC,N-doped stacked carbon nanosheets,Fe,II,N,O2,"20 mg/L (phenol), 20 mg/L (2,4-dichlorophenol), 20 mg/L (sulfamethoxazole), 20 mg/L (atrazine), 20 mg/L (bisphenol A)","0.071 min-1 (phenol), 0.037 min-1 (2,4-dichlorophenol), 0.037 min-1 (sulfamethoxazole), 0.037 min-1 (atrazine), 0.037 min-1 (bisphenol A)",1.6 mg/cm2,,6,10,362 mg/L (COD in coking wastewater),3 hours,"1O2, OH","DMPO-OH, TEMP-1O2","significant suppression (1.5 M furfuryl alcohol), minor effect (1.5 M tert-butanol)",10.1016/j.scitotenv.2024.173042
212,SA Co/CMK-3,CMK-3,Co,III,N,"PMS, O3","10 mg/L (APAP), 10 mg/L (nitrobenzene), 10 mg/L (sulfamethoxazole)",0.534 min-1 (APAP),0.02 g/L,"0.4 g/L (PMS), 50 mg/h (O3)",7,5,,,"SO4-, OH, 1O2","DMPOX, TEMP-1O2","significant inhibition (MeOH), moderate inhibition (TBA), slight inhibition (FFA)",10.1016/j.seppur.2022.120582
213,Co-N5/CNT,carbon nanotubes (CNT) with five-coordinated nitrogen atoms,Co,II,N,PMS,10 mg/L (sulfamerazine),0.094 min-1 (sulfamerazine),0.03 g/L,0.3 mM,5.53,5,,,electron transfer,DMPOX,"slight inhibition (MeOH), slight inhibition (TBA), significant inhibition (K2Cr2O7), 75.2% (BQ), 80.2% (FFA)",10.1016/j.seppur.2022.122398
214,Fe-N-C,N-doped porous carbon matrix,Fe,II,N,peroxymonosulfate (PMS),20 mg/L (BPA),0.395 min-1 (BPA),75 mg/L,0.2 g/L,6,5,,,"1O2, Fe(IV)=O, OH, SO4-","DMPO-OH, DMPO-SO4, TEMP-1O2","79.9% (TBA), 73.9% (MeOH), 32.7% (5 mM L-histidine), 21.7% (10 mM L-histidine), 15.0% (20 mM L-histidine), 95.3% (FFA), significant inhibition (DMSO)",10.1016/j.seppur.2022.122402
215,SA-Cu-CN,carbon nitride (CN) layers,Cu,I,N,"H2O2, PMS",20 ppm (41.6 μM) (doxycycline hyclate),0.42539 min-1 (doxycycline hyclate),0.1 g/L,"20 mM (H2O2), 1 mM (PMS)",7,5,,,"OH, SO4-","DMPO-OH, DMPO-O2-, DMPO-SO4-",slight inhibition (isopropyl alcohol),10.1016/j.seppur.2022.122955
216,FeOx-B-1,iron oxide,,,,PMS,20 mg/L (TTCH),,300 mg/L,400 mg/L,4.4,10,,8 days,"OH, SO4-, 1O2, surface reactive complexes","DMPO-OH, DMPO-SO4, TEMP-1O2","6.52% (TBA), 2.39% (MeOH), 17.39% (FFA)",10.1016/j.seppur.2023.123391
217,5.5SACu-hsCN,hollow spherical graphitic carbon nitride (hsCN),Cu,I,N,H2O2,20 mg/L (acetaminophen),0.035 min-1 (acetaminophen),0.2 g/L,1000 ppm,5.4,4,,,"OH, 1O2","DMPO-OH, TEMP-1O2","slight inhibition (tert-butanol), significant inhibition (L-histidine)",10.1016/j.seppur.2023.124016
218,,,,,,,,,,,,,,,,,,
219,CFP@Fe SAs-PANIc,"carbon fiber paper (CFP) co-electrodeposited by aniline and inorganic Fe source, pyrolyzed at 500 °C",Fe,between +2 and +3,"N, O",O2,20 mg/L (4-hydroxybenzoic acid),0.0335 min-1 (4-hydroxybenzoic acid),,,3,6,"42 mg/L (TOC), 356 mg/L (COD)",4 hours,"OH, O2-",DMPO-OH,"31% inhibition (ethanol), 33.6% inhibition (tert-butanol), 9% inhibition (benzoquinone)",10.1016/j.seppur.2023.124599
220,CoAC-CN,polystyrene-based ordered porous carbon,,,,peroxymonosulfate,20 mg/L (nitenpyram),0.05 min-1 (nitenpyram),50 mg/L,0.4 mM,6.8,3,,,1O2,"DMPO-OH, DMPO-SO4","slight decrease (ethanol), enhanced degradation (tert-butanol)",10.1016/j.seppur.2023.125455
221,Co@NSC,N and S doped carbon-based catalyst,Co,II,"N, S",H2O2,10 mg/L (DMP),0.05 min-1 (DMP),,,3,4,,,"OH, 1O2, O2-","DMPO-OH, TEMP-1O2, DMPO-O2-","96.6% (TBA), 87.6% (FFA), 78.5% (BQ)",10.1016/j.seppur.2023.125580
222,CuN/CSAC(S),nitrogen doped algal-based carbon,Cu,II,"N, C",PDS,20 mg/L (phenol),0.0252 min-1 (phenol),0.05 g/L,1 mM,4,4,,,"1O2, O2•−","DMPO-SO4, DMPO-OH, O2-, 1O2","slight inhibition (MeOH), slight inhibition (TBA), 20% (p-BQ), 23% (FFA)",10.1016/j.seppur.2023.125823
223,Ni-Co-2H-MoS2 (NCMS),2H-MoS2,,,,Peroxymonosulfate (PMS),20 mg/L (tetracycline),0.141 min-1 (tetracycline),0.15 g/L,5 mmol/L,7,5,,,"1O2, SO4•−, •OH","DMPO-O2-, TEMP-1O2","slight decrease (methanol), slight decrease (tert-butanol), slight decrease (p-benzoquinone), sharp decrease (L-histidine)",10.1016/j.seppur.2023.125927
224,Fe-BNC,"B,N-codoped hierarchical porous carbon",Fe,III,N,PDS,20 mg/L (BPA),1.23 min-1 (BPA),0.2 g/L,5 mM,6.3,4,20 mg/L (BPA),180 min,"1O2, O2•−, •OH, SO4•−","DMPO-OH, DMPO-SO4, TEMP-1O2","significant inhibition (furfuryl alcohol), significant inhibition (p-benzoquinone), no effect (tert-butyl alcohol), no effect (methanol)",10.1016/j.seppur.2023.126058
225,SA-Mn-NC,nitrogen-doped carbon,Mn,"II, III",N,PMS,20 mg/L (BPA),1.56 min-1 (BPA),0.05 g/L,1 mM,7,3,,,"1O2, ⋅OH, SO4⋅−","DMPO-OH, DMPO-SO4, TEMP-1O2","68% inhibition (100 mM FFA), negligible inhibition (MeOH), negligible inhibition (TBA)",10.1016/j.seppur.2023.126129
226,FexCo1-x-ZIF,ZIF-67,Co,II,N,PMS,20 mg/L (carbamazepine),0.79 min-1 (carbamazepine),0.8 g/L,0.8 mM,,5,,,1O2,"DMPO-OH, DMPO-SO4, TEMP-1O2","no impact (p-BQ), slight inhibition (TBA), significant inhibition (MeOH), nearly terminated (NaN3)",10.1016/j.seppur.2024.127158
227,Co/UiO-66-220,hydroxyl decorated UiO-66,Co,II,O,PMS,20 mg/L (SMX),0.1 min-1 (SMX),0.1 g/L,0.7 mM,4.4,5,20 mg/L (SMX),240 min,"1O2, Co(IV)=O, electron transfer","DMPO-OH, DMPO-SO4, TEMP-1O2","81.3% (L-histidine), 20.9% (ethanol), 42.1% (benzoquinone), inhibited (PMSO)",10.1016/j.seppur.2024.127225
228,,,,,,,,,,,,,,,,,,
